time 2018-09-10 10:46:13
row  8
col  8
robRow  7
robCol  4
robReachRowLst  7 4 1 6 3 5 7 2 0 6 1 5 0 2 2 7 4 1 6 3 5 7 4 6 1 5 2 0 3 3 4 1 6 3 0 2 5 7 4 6 1 7 2 0 4 1 6 3 0 5 2 4 6 3 5 7 2 4 1 5 0
robReachColLst  3 7 3 6 0 6 7 1 7 2 6 1 3 5 4 2 0 2 7 3 5 6 4 3 5 0 2 4 4 6 1 1 4 2 0 6 4 1 5 0 4 5 3 5 2 0 5 5 1 3 7 6 1 1 7 4 0 3 7 2 2
robUnReachRowLst  0 3 7
robUnReachColLst  6 7 0
grid  1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1
obRow  0 3 7
obCol  6 7 0
proGrid  0.02040816326530612 0.006802721088435374 0.02040816326530612 0.013605442176870748 0.013605442176870748 0.027210884353741496 0.0 0.027210884353741496 0.006802721088435374 0.027210884353741496 0.02040816326530612 0.013605442176870748 0.013605442176870748 0.02040816326530612 0.013605442176870748 0.02040816326530612 0.02040816326530612 0.006802721088435374 0.027210884353741496 0.027210884353741496 0.027210884353741496 0.02040816326530612 0.006802721088435374 0.006802721088435374 0.006802721088435374 0.027210884353741496 0.013605442176870748 0.013605442176870748 0.027210884353741496 0.013605442176870748 0.02040816326530612 0.0 0.013605442176870748 0.006802721088435374 0.02040816326530612 0.027210884353741496 0.006802721088435374 0.006802721088435374 0.013605442176870748 0.006802721088435374 0.013605442176870748 0.027210884353741496 0.02040816326530612 0.02040816326530612 0.027210884353741496 0.006802721088435374 0.02040816326530612 0.013605442176870748 0.02040816326530612 0.006802721088435374 0.027210884353741496 0.006802721088435374 0.006802721088435374 0.027210884353741496 0.027210884353741496 0.013605442176870748 0.0 0.013605442176870748 0.006802721088435374 0.013605442176870748 0.02040816326530612 0.006802721088435374 0.006802721088435374 0.013605442176870748
proLevNum  4
proLevGrid  3 1 3 2 2 4 0 4 1 4 3 2 2 3 2 3 3 1 4 4 4 3 1 1 1 4 2 2 4 2 3 0 2 1 3 4 1 1 2 1 2 4 3 3 4 1 3 2 3 1 4 1 1 4 4 2 0 2 1 2 3 1 1 2
proUnit  0.006802721088435374
